	вакансия	зарплата от	зарплата до	Валюта	Локация	Опубликовано	Работодатель	Роль	Опыт	Ссылка на вакансию	средняя
0	Тестировщик (ручное тестирование)	150000	200000	RUR	Москва	2024-07-12	Rubbles	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/103794585	175000.0
1	Программист-разработчик	100000	100000	RUR	Москва	2024-07-18	HD LED TECH	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103764869	100000.0
2	QA Engineer / Инженер по качеству	60000	150000	RUR	Санкт-Петербург	2024-07-16	Nord.Codes	Тестировщик	От 1 года до 3 лет	https://hh.ru/vacancy/104023297	105000.0
3	PHP Разработчик (удаленно)	100000	120000	RUR	Санкт-Петербург	2024-07-05	МирТех	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103359212	110000.0
4	Event-менеджер / организатор мероприятий	100000	160000	RUR	Москва	2024-06-26	Конференции Олега Бунина	Event-менеджер	От 1 года до 3 лет	https://hh.ru/vacancy/102736702	130000.0
5	Java разработчик	100000	100000	RUR	Брянск	2024-07-09	М-Сошал	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103604196	100000.0
6	Web-программист	60000	60000	RUR	Краснодар	2024-07-18	Усенко Ярослав Геннадьевич	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103792548	60000.0
7	Java-разработчик	100000	100000	RUR	Брянск	2024-07-13	DigitalBudget	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/98909318	100000.0
8	Middle backend разработчик, python (Django, GraphQL)	35000	70000	RUR	Волгоград	2024-07-16	Синергия	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103799015	52500.0
9	Java-junior разработчик	50000	80000	RUR	Москва	2024-07-17	Эврика Би Пи О	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/97824754	65000.0
10	Backend разработчик (SaluteRPA)	190000	230000	RUR	Санкт-Петербург	2024-07-02	Снэп АйТи	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103136862	210000.0
11	Программист PHP	90000	90000	RUR	Нижний Новгород	2024-07-14	Deutsch Online	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103859414	90000.0
12	Java developer	120000	211597	RUR	Санкт-Петербург	2024-07-16	СБЕР	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/104013076	165798.5
13	Fullstack-разработчик	80000	120000	RUR	Москва	2024-06-19	Кодит	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/102296630	100000.0
14	Разработчик Android приложений	80000	80000	RUR	Ростов-на-Дону	2024-07-02	Лилиани	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103156829	80000.0
15	Java/Kotlin-разработчик	200000	300000	RUR	Москва	2024-07-03	Rubbles	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/99716978	250000.0
16	Системный аналитик (IT)	180000	250000	RUR	Новосибирск	2024-07-17	Rocket Science	Системный аналитик	От 1 года до 3 лет	https://hh.ru/vacancy/104066330	215000.0
17	Junior DevOps Engineer (DataSpace)	125000	125000	RUR	Ростов-на-Дону	2024-06-20	SberTech	Специалист технической поддержки	От 1 года до 3 лет	https://hh.ru/vacancy/102381032	125000.0
18	Backend PHP программист	140000	170000	RUR	Ростов-на-Дону	2024-07-09	Рабочие решения	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103605596	155000.0
19	Web-разработчик (Инженер-программист)(01050-1)	120000	120000	RUR	Москва	2024-06-25	Моринформсистема-Агат, Концерн	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/91683538	120000.0
20	Backend-разработчик	8000000	15000000	UZS	Ташкент	2024-07-05	APP-CLOUD	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103374278	11500000.0
21	Fullstack-разработчик	20000	40000	RUR	Самара	2024-07-19	Бирючкова Марианна Юрьевна	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103647331	30000.0
22	Java разработчик Full Stack/Backend	500000	1000000	KZT	Алматы	2024-07-10	Profit Staff Com (Профит Стафф Ком)	Программист, разработчик	От 1 года до 3 лет	https://hh.ru/vacancy/103659874	750000.0
